sepal_length,sepal_width,petal_length,petal_width,species
Very Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Short,Very Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Short,Very Long,Small,Very Small,setosa
Short,Very Long,Small,Very Small,setosa
Short,Very Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Short,Long,Small,Very Small,setosa
Very Short,Very Long,Small,Very Small,setosa
Short,Very Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Very Short,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Very Short,Short,Small,Very Small,setosa
Short,Long,Small,Very Small,setosa
Very Short,Long,Small,Very Small,setosa
Long,Short,Medium,Big,versicolor
Long,Short,Medium,Big,versicolor
Long,Short,Medium,Big,versicolor
Short,Very Short,Medium,Big,versicolor
Long,Short,Medium,Big,versicolor
Short,Short,Medium,Big,versicolor
Long,Long,Medium,Big,versicolor
Very Short,Very Short,Medium,Small,versicolor
Long,Short,Medium,Big,versicolor
Very Short,Short,Medium,Big,versicolor
Very Short,Very Short,Medium,Small,versicolor
Short,Short,Medium,Big,versicolor
Short,Very Short,Medium,Small,versicolor
Short,Short,Medium,Big,versicolor
Short,Short,Medium,Big,versicolor
Long,Short,Medium,Big,versicolor
Short,Short,Medium,Big,versicolor
Short,Short,Medium,Small,versicolor
Long,Very Short,Medium,Big,versicolor
Short,Very Short,Medium,Small,versicolor
Short,Short,Medium,Big,versicolor
Short,Short,Medium,Big,versicolor
Long,Very Short,Medium,Big,versicolor
Short,Short,Medium,Small,versicolor
Long,Short,Medium,Big,versicolor
Long,Short,Medium,Big,versicolor
Long,Short,Medium,Big,versicolor
Long,Short,Big,Big,versicolor
Short,Short,Medium,Big,versicolor
Short,Very Short,Medium,Small,versicolor
Short,Very Short,Medium,Small,versicolor
Short,Very Short,Medium,Small,versicolor
Short,Short,Medium,Small,versicolor
Short,Short,Big,Big,versicolor
Short,Short,Medium,Big,versicolor
Short,Long,Medium,Big,versicolor
Long,Short,Medium,Big,versicolor
Long,Very Short,Medium,Big,versicolor
Short,Short,Medium,Big,versicolor
Short,Very Short,Medium,Big,versicolor
Short,Very Short,Medium,Small,versicolor
Short,Short,Medium,Big,versicolor
Short,Very Short,Medium,Small,versicolor
Very Short,Very Short,Medium,Small,versicolor
Short,Short,Medium,Big,versicolor
Short,Short,Medium,Small,versicolor
